Seq,Inbred Line,Accesion N,accenumb,Breeding program,Pop structure,Year Rel,P1A,P2A,eraA,GroupA,TypeA,SourceA,,,,,Ped_line
2715,Mo401,Ames28360,Ames 28360,Missouri,stiff stalk,0,B37,0,0,0,INBRED,B37 wx conversion,,,,,
2716,Mo402,Ames28361,Ames 28361,Missouri,unclassified,0,B41,0,0,0,INBRED,B41 wx conversion,,,,,
2717,Mo403,Ames28362,Ames 28362,Missouri,unclassified,0,Mo3,0,0,0,INBRED,[(38-11 X wx) Mo3 (3)],,,,,
1410,CI91BGoodman-Buckler,Ames28365,Ames 28365,Other,unclassified,0,0,0,0,0,INBRED,0,,,,,
2973,N7AGoodman-Buckler,Ames28366,Ames 28366,Nebraska,stiff stalk,1968,Oh07,BSSS,0,0,INBRED,0,,,,,
1391,CI7GB,Ames28367,Ames 28367,Other,unclassified,0,CI7GB_2,33_16,0,0,INBRED,Blight Res,CI7Goodman_Buckler,,,,
3032,NC258A,Ames28411,Ames 28411,North Carolina,unclassified,0,TZ,NC258_3,0,0,INBRED,,,,,,
3038,NC262A,Ames28412,Ames 28412,North Carolina,unclassified,0,0,0,0,0,INBRED,0,,,,,
3039,NC262B,Ames28413,Ames 28413,North Carolina,unclassified,0,0,0,0,0,INBRED,0,,,,,
3046,NC266,Ames28414,Ames 28414,North Carolina,unclassified,0,B73,NC266_1,0,0,INBRED,(B73 X NC250) B73,,,,,
3047,NC266B,Ames28415,Ames 28415,North Carolina,unclassified,0,B73,NC266_1,0,0,INBRED,(B73 X NC250) B73,,,,,
3049,NC268A,Ames28416,Ames 28416,North Carolina,unclassified,0,B73,NC266_1,0,0,INBRED,0,,,,,
3050,NC270,Ames28417,Ames 28417,North Carolina,stiff stalk,0,B73,NC250,0,0,INBRED,0,,,,,
3052,NC276,Ames28418,Ames 28418,North Carolina,stiff stalk,0,B73,NC276_1,0,0,INBRED,[(B73 X NC244) B73],,,,,
3060,NC278,Ames28419,Ames 28419,North Carolina,stiff stalk,1988,NC278_1,B73G,0,0,INBRED,[(ETO B1 X B73G) B73G],,,,,
3061,NC278A,Ames28420,Ames 28420,North Carolina,unclassified,0,NC278_1,B73G,0,0,INBRED,0,,,,,
3062,NC280,Ames28421,Ames 28421,North Carolina,stiff stalk,0,B73,NC252_2,0,0,INBRED,0,,,,,
3063,NC282,Ames28422,Ames 28422,North Carolina,stiff stalk,0,B73,NC252_2,0,0,INBRED,0,,,,,
3064,NC284,Ames28423,Ames 28423,North Carolina,stiff stalk,0,B73,NC252_2,0,0,INBRED,0,,,,,
3065,NC286,Ames28424,Ames 28424,North Carolina,non-stiff stalk,0,NC258_3,NC258_3,0,0,INBRED,(McNair 14 X 18) X [(NC248 X NC246) X C103],,,,,
3066,NC288,Ames28425,Ames 28425,North Carolina,non-stiff stalk,0,NC258_3,NC258_3,0,0,INBRED,0,,,,,
3067,NC290,Ames28426,Ames 28426,North Carolina,non-stiff stalk,0,McNair14,McNair18,0,0,INBRED,0,,,,,
2681,Mo27W,Ames28927,Ames 28927,Missouri,unclassified,0,MoSQA(S0)C4,MoSQA(S0)C4,0,0,INBRED,0,,,,,
2682,Mo28W,Ames28928,Ames 28928,Missouri,unclassified,0,MoSQA(S0)C4,MoSQA(S0)C4,0,0,INBRED,0,,,,,
2683,Mo29W,Ames28929,Ames 28929,Missouri,unclassified,0,MoSQA(S0)C4,MoSQA(S0)C4,0,0,INBRED,0,MoSQB is a yellow endosperm synthetic including 12 inbred lines as parents,,,,
2699,Mo30W,Ames28930,Ames 28930,Missouri,unclassified,0,MoSQA(S0)C4,MoSQA(S0)C4,0,0,INBRED,MoSQA (S0) C4,,,,,
2707,Mo31W,Ames28931,Ames 28931,Missouri,unclassified,0,MoSQA(S0)C4,MoSQA(S0)C4,0,0,INBRED,MoSQA (S0) C4,,,,,
2708,Mo32W,Ames28932,Ames 28932,Missouri,unclassified,0,MoSQA(S0)C4,MoSQA(S0)C4,0,0,INBRED,MoSQA (S0) C4,,,,,
2709,Mo33W,Ames28933,Ames 28933,Missouri,unclassified,0,MoSQA(S0)C4,MoSQA(S0)C4,0,0,INBRED,MoSQA (S0) C4,,,,,
2710,Mo36,Ames28934,Ames 28934,Missouri,unclassified,0,MoSQA(S0)C4,MoSQA(S0)C4,0,0,INBRED,MoSQA (S0) C4,,,,,
2711,Mo37,Ames28935,Ames 28935,Missouri,unclassified,0,MoSQA(S0)C4,MoSQA(S0)C4,0,0,INBRED,MoSQA (S0) C4,,,,,
2712,Mo38,Ames28936,Ames 28936,Missouri,unclassified,0,MoSQA(S0)C4,MoSQA(S0)C4,0,0,INBRED,MoSQA (S0) C4,,,,,
2713,Mo39,Ames28937,Ames 28937,Missouri,unclassified,0,MoSQA(S0)C4,MoSQA(S0)C4,0,0,INBRED,MoSQA (S0) C4,,,,,
2720,Mo43,Ames28938,Ames 28938,Missouri,non-stiff stalk,0,C103,Mo17,0,0,INBRED,Mo17 X C103 3rd Cycle,,,,,
2722,Mo44,Ames28939,Ames 28939,Missouri,unclassified,0,Mo22,PioneerMexicanSyn17,0,0,INBRED,Mo22 X Pioneer Mexican Synthetic 17,,,,,
2740,Mo501,Ames28940,Ames 28940,Missouri,unclassified,0,K55,0,0,0,INBRED,Gametophytic sterile (Ga-s) K55,,,,,
2741,Mo502W,Ames28941,Ames 28941,Missouri,unclassified,0,Ky49,0,0,0,INBRED,Gametophytic sterile (Ga-s) Ky49,,,,,
2743,Mo506W,Ames28942,Ames 28942,Missouri,unclassified,0,K6 ,0,0,0,INBRED,Gametophytic sterile (Ga-s) K6,,,,,
2744,Mo508W,Ames28943,Ames 28943,Missouri,unclassified,0,H30,0,0,0,INBRED,Gametophytic sterile (Ga-s) H30,,,,,
2747,Mo510W,Ames28944,Ames 28944,Missouri,unclassified,1976,0,0,0,0,INBRED,Gametophytic sterile (Ga-s) N72,,,,,
2750,Mo511W,Ames28945,Ames 28945,Missouri,unclassified,0,Mo511W_2,N72,0,0,INBRED,[A509 X N72 (2)] gametophytic sterile (Ga-s),,,,,
2752,Mo512AW,Ames28946,Ames 28946,Missouri,unclassified,0,W64A,K6 ,0,0,INBRED,W64A X K6 gametophytic sterile (Ga-s),,,,,
2753,Mo512BW,Ames28947,Ames 28947,Missouri,unclassified,0,W64A,K6 ,0,0,INBRED,W64A X K6 gametophytic sterile (Ga-s),,,,,
1377,CI4A,Ames28948,Ames 28948,Other,unclassified,0,0,0,0,0,INBRED,Unknown peidigree,,,,,
1336,CI12,Ames28949,Ames 28949,Other,unclassified,0, CI23,CI12_1,0,0,INBRED,0,,,,,
1369,CI42B,Ames28951,Ames 28951,Other,unclassified,0,Hy,Mo21A,0,0,INBRED,Likely Modified version of CI42A,,,,,
1370,CI43,Ames28952,Ames 28952,Other,unclassified,0,USSelection119,0,0,0,INBRED,0,,,,,
1412,CI92,Ames28953,Ames 28953,Other,unclassified,0,0,0,0,0,INBRED,0,,,,,
1414,CI93A,Ames28954,Ames 28954,Other,unclassified,0,CI15,L97,0,0,INBRED,0,,,,,
2370,Hi38C1,Ames28957,Ames 28957,Other,Ysweet corn,0,AA8,0,0,0,INBRED,sh2 version of AA8,,,,,
3225,NEI9008,Ames29045,Ames 29045,Thailand,tropical,0,0,0,0,0,INBRED,0,,,,,
1639,CML395,Ames29393,Ames 29393,Mexico,tropical,0,0,0,0,0,INBRED,90323(B)-1-B-1-B*4,,,,,
593,1497-2,Ames29394,Ames 29394,Other,unclassified,0,105.101 x 306.5,B73Ht/Mo17Ht,0,0,0, ,,,,,
1922,W438,Ames29447,Ames 29447,Wisconsin,unclassified,1,W59M,CH9,0,0,INBRED,0,,,,,
591,1416-1,Ames29448,Ames 29448,NCSU,unclassified,0,155 x 105.306,B73Ht/Mo17Ht,0,0,0,,,,,,
1959,GE440,Ames29451,Ames 29451,Other,unclassified,1,HastingsYellowProlific,HastingsYellowProlific,0,0,INBRED,0,,,,,
3737,T179,Ames30480,Ames 30480,Other,unclassified,2010,T173_3,Cr1_172,0,0,INBRED,T173/Cr1-172,,,,,
2795,MR01AraguitoS6,Ames30522,Ames 30522,Other,landraces,0,VEN568,VEN568,0,0,INBRED,0,,,,,
2797,MR02Assiniboine,Ames30523,Ames 30523,Other,landraces,0,Assiniboine,Assiniboine,0,0,0,0,,,,,
2799,MR05CatetoS6,Ames30524,Ames 30524,Other,landraces,0,Cateto,Cateto,0,0,0,0,,,,,
2803,MR08CostenoS6,Ames30526,Ames 30526,Other,landraces,0,Costeno,Costeno,0,0,0,0,,,,,
2805,MR09CravoRiogranenseS6,Ames30527,Ames 30527,Other,landraces,0,CravoRiogranense,CravoRiogranense,0,0,0,0,,,,,
2807,MR11CubanFlintS6,Ames30529,Ames 30529,Other,landraces,0,CubanFlint,CubanFlint,0,0,0,0,,,,,
2811,MR14LongfellowFlint,Ames30531,Ames 30531,Other,landraces,0,LongfellowFlint,LongfellowFlint,0,0,,0,,,,,
2815,MR19SantoDomingo,Ames30533,Ames 30533,Other,landraces,0,SantoDomingo,SantoDomingo,0,0, ,0,,,,,
2817,MR20ShoePegS7,Ames30534,Ames 30534,Other,landraces,0,ShoePeg,ShoePeg,0,0,0,0,,,,,
2819,MR22TuxpenoS6,Ames30535,Ames 30535,Other,landraces,0,Tuxpeno,Tuxpeno,0,0,0,0,,,,,
2821,MR23ZapaloteChicoS6,Ames30536,Ames 30536,Other,landraces,0,ZapaloteChico,ZapaloteChico,0,0,0,0,,,,,
2823,MR25PororoS5,Ames30537,Ames 30537,Other,landraces,0,Pororo,Pororo,0,0,0,0,,,,,
2164,GEMS-0175,Ames30790,Ames 30790,GEM,unclassified,0,0,0,0,0,INBRED,0,,,,,
2165,GEMS-0176,Ames30791,Ames 30791,GEM,unclassified,0,0,0,0,0,INBRED,0,,,,,
2064,GEMN-0177,Ames30792,Ames 30792,GEM,unclassified,0,0,0,0,0,INBRED,0,,,,,
2065,GEMN-0178,Ames30793,Ames 30793,GEM,unclassified,0,0,0,0,0,INBRED,0,,,,,
2066,GEMN-0179,Ames30794,Ames 30794,GEM,unclassified,0,0,0,0,0,INBRED,0,,,,,
2166,GEMS-0180,Ames30795,Ames 30795,GEM,unclassified,0,0,0,0,0,INBRED,0,,,,,
2167,GEMS-0181,Ames30796,Ames 30796,GEM,unclassified,0,0,0,0,0,INBRED,0,,,,,
2168,GEMS-0182,Ames30797,Ames 30797,GEM,unclassified,0,0,0,0,0,INBRED,0,,,,,
2169,GEMS-0183,Ames30798,Ames 30798,GEM,unclassified,0,0,0,0,0,INBRED,0,,,,,
2170,GEMS-0184,Ames30799,Ames 30799,GEM,unclassified,0,0,0,0,0,INBRED,0,,,,,
1578,CML325,Ames30855,Ames 30855,Mexico,tropical,0,Pop45,0,0,0,INBRED,"P4Sc6F28-1.2-8""6",,,,,
1590,CML336,Ames30856,Ames 30856,Mexico,tropical,0,recyY,0,0,0,INBRED,89[TL864]/[P47s3/Mp78:518]B-24-1-1-4-1-3-B-#-B,,,,,
1591,CML337,Ames30857,Ames 30857,Mexico,tropical,0,recyY,0,0,0,INBRED,89[TL864]/[P47s3/Mp78:518]B-24-1-3-2-1-2-B-#-B,,,,,
1617,CML371,Ames30858,Ames 30858,Mexico,tropical,0,MBR-ETWC1,0,0,0,INBRED,MBR-ET(W)F2-56-1-1-1-BÂ·B-6-B-B,,,,,
1618,CML372,Ames30859,Ames 30859,Mexico,tropical,0,MBR-ETWC1,0,0,0,INBRED,MBR-ET(W)F2-177-3-1-1-B-B,,,,,
1621,CML375,Ames30860,Ames 30860,Mexico,tropical,0,P44C9,0,0,0,INBRED,P44C9FS158-3-2-4-2-B-B-1-B-B,,,,,
1622,CML376,Ames30861,Ames 30861,Mexico,tropical,0,SLWHG_A,0,0,0,INBRED,SLWHG-AF118-2-1-1-B-1-B-1-B-B,,,,,
3141,NC44,Ames30862,Ames 30862,North Carolina,unclassified,0,SouthernBeauty,SouthernBeauty,0,0,INBRED,0,,,,,
3145,NC87,Ames30863,Ames 30863,North Carolina,unclassified,0,LathamYellow,LathamYellow,0,0,INBRED,0,,,,,
3146,NC89,Ames30864,Ames 30864,North Carolina,unclassified,0,WF9,IndianChief,0,0,INBRED,0,,,,,
3651,SC76,Ames30865,Ames 30865,Other,unclassified,0,HastingsProlific,YellowTuxpan,0,0,INBRED,Hastings Prolific X Yellow Tuxpan,,,,,
2073,GEMN-0194,Ames30866,Ames 30866,GEM,unclassified,0,0,0,0,0,INBRED,0,,,,,
2074,GEMN-0195,Ames30867,Ames 30867,GEM,unclassified,0,0,0,0,0,INBRED,0,,,,,
2075,GEMN-0196,Ames30868,Ames 30868,GEM,unclassified,0,0,0,0,0,INBRED,0,,,,,
2076,GEMN-0197,Ames30869,Ames 30869,GEM,unclassified,0,0,0,0,0,INBRED,0,,,,,
2077,GEMN-0198,Ames30870,Ames 30870,GEM,unclassified,0,0,0,0,0,INBRED,0,,,,,
600,3167B,Ames30934,Ames 30934,Other,unclassified,0,0,0,0,0,0,This inbred is OH3167B ,,,,,
588,ILL_12E,Ames30935,Ames 30935,Other,stiff stalk,0,0,0,0,0,0,0,,,,,
4029,WD456,Ames30936,Ames 30936,Other,unclassified,1,WaldenDent,WaldenDent,1,2,INBRED,0,,,,,
3783,TR9-1-1-6,Ames30937,Ames 30937,Other,unclassified,1,ReidYellowDent(Troyer strain),ReidYellowDent(Troyer strain),2,2,INBRED,0,,,,,
742,Fe,Ames30938,Ames 30938,Other,unclassified,0,Reid Yellow Dent,Reid Yellow Dent,0,0,INBRED,0,,,,,
788,A3G-3-1-3,Ames30939,Ames 30939,Other,stiff stalk,0,0,0,0,0,0,0,,,,,
1012,AH83,Ames30940,Ames 30940,Other,unclassified,1,0,0,1,3,0,Contact J. Edwards,,,,,
2130,GEMS-0068,Ames30941,Ames 30941,GEM,unclassified,0,0,0,0,0,INBRED,0,,,,,
2131,GEMS-0069,Ames30942,Ames 30942,GEM,unclassified,0,0,0,0,0,INBRED,0,,,,,
1994,GEMN-0070,Ames30943,Ames 30943,GEM,unclassified,0,0,0,0,0,INBRED,0,,,,,
1995,GEMN-0071,Ames30944,Ames 30944,GEM,unclassified,0,0,0,0,0,INBRED,0,,,,,
2132,GEMS-0072,Ames30945,Ames 30945,GEM,unclassified,0,0,0,0,0,INBRED,0,,,,,
2133,GEMS-0073,Ames30946,Ames 30946,GEM,unclassified,0,0,0,0,0,INBRED,0,,,,,
2134,GEMS-0074,Ames30947,Ames 30947,GEM,unclassified,0,0,0,0,0,INBRED,0,,,,,
2135,GEMS-0075,Ames30948,Ames 30948,GEM,unclassified,0,0,0,0,0,INBRED,0,,,,,
1996,GEMN-0076,Ames30949,Ames 30949,GEM,unclassified,0,0,0,0,0,INBRED,0,,,,,
1997,GEMN-0077,Ames30950,Ames 30950,GEM,unclassified,0,0,0,0,0,INBRED,0,,,,,
2136,GEMS-0078,Ames30951,Ames 30951,GEM,unclassified,0,0,0,0,0,INBRED,0,,,,,
2137,GEMS-0079,Ames30952,Ames 30952,GEM,unclassified,0,0,0,0,0,INBRED,0,,,,,
2138,GEMS-0080,Ames30953,Ames 30953,GEM,unclassified,0,0,0,0,0,INBRED,0,,,,,
1998,GEMN-0081,Ames30954,Ames 30954,GEM,unclassified,0,0,0,0,0,INBRED,0,,,,,
1999,GEMN-0082,Ames30955,Ames 30955,GEM,unclassified,0,0,0,0,0,INBRED,0,,,,,
2000,GEMN-0083,Ames30956,Ames 30956,GEM,unclassified,0,0,0,0,0,INBRED,0,,,,,
2139,GEMS-0084,Ames30957,Ames 30957,GEM,unclassified,0,0,0,0,0,INBRED,0,,,,,
2140,GEMS-0085,Ames30958,Ames 30958,GEM,unclassified,0,0,0,0,0,INBRED,0,,,,,
2141,GEMS-0086,Ames30959,Ames 30959,GEM,unclassified,0,0,0,0,0,INBRED,0,,,,,
2001,GEMN-0087,Ames30960,Ames 30960,GEM,unclassified,0,0,0,0,0,INBRED,0,,,,,
2003,GEMN-0089,Ames30961,Ames 30961,GEM,unclassified,0,0,0,0,0,INBRED,0,,,,,
2004,GEMN-0090,Ames30962,Ames 30962,GEM,unclassified,0,0,0,0,0,INBRED,0,,,,,
2005,GEMN-0094,Ames30963,Ames 30963,GEM,unclassified,0,0,0,0,0,INBRED,0,,,,,
2006,GEMN-0095,Ames30964,Ames 30964,GEM,unclassified,0,0,0,0,0,INBRED,0,,,,,
2007,GEMN-0096,Ames30965,Ames 30965,GEM,unclassified,0,0,0,0,0,INBRED,0,,,,,
2010,GEMN-0099,Ames30966,Ames 30966,GEM,unclassified,0,0,0,0,0,INBRED,0,,,,,
2171,GEMS-0185,Ames30967,Ames 30967,GEM,unclassified,0,0,0,0,0,INBRED,0,,,,,
2067,GEMN-0186,Ames30968,Ames 30968,GEM,unclassified,0,0,0,0,0,INBRED,0,,,,,
2068,GEMN-0187,Ames30969,Ames 30969,GEM,unclassified,0,0,0,0,0,INBRED,0,,,,,
2172,GEMS-0188,Ames30970,Ames 30970,GEM,unclassified,0,0,0,0,0,INBRED,0,,,,,
2173,GEMS-0189,Ames30971,Ames 30971,GEM,unclassified,0,0,0,0,0,INBRED,0,,,,,
2069,GEMN-0190,Ames30972,Ames 30972,GEM,unclassified,0,0,0,0,0,INBRED,0,,,,,
2070,GEMN-0191,Ames30973,Ames 30973,GEM,unclassified,0,0,0,0,0,INBRED,0,,,,,
2071,GEMN-0192,Ames30974,Ames 30974,GEM,unclassified,0,0,0,0,0,INBRED,0,,,,,
2072,GEMN-0193,Ames30975,Ames 30975,GEM,unclassified,0,0,0,0,0,INBRED,0,,,,,
2054,GEMN-0164,Ames31233,Ames 31233,GEM,unclassified,0,0,0,0,0,INBRED,0,,,,,
2055,GEMN-0165,Ames31234,Ames 31234,GEM,unclassified,0,0,0,0,0,INBRED,0,,,,,
2056,GEMN-0166,Ames31235,Ames 31235,GEM,unclassified,0,0,0,0,0,INBRED,0,,,,,
2057,GEMN-0167,Ames31236,Ames 31236,GEM,unclassified,0,0,0,0,0,INBRED,0,,,,,
2058,GEMN-0168,Ames31237,Ames 31237,GEM,unclassified,0,0,0,0,0,INBRED,0,,,,,
2059,GEMN-0169,Ames31238,Ames 31238,GEM,unclassified,0,0,0,0,0,INBRED,0,,,,,
2060,GEMN-0170,Ames31239,Ames 31239,GEM,unclassified,0,0,0,0,0,INBRED,0,,,,,
2061,GEMN-0172,Ames31240,Ames 31240,GEM,unclassified,0,0,0,0,0,INBRED,0,,,,,
2062,GEMN-0173,Ames31241,Ames 31241,GEM,unclassified,0,0,0,0,0,INBRED,0,,,,,
2079,GEMN-0207,Ames31242,Ames 31242,GEM,unclassified,0,0,0,0,0,INBRED,0,,,,,
2080,GEMN-0208,Ames31243,Ames 31243,GEM,unclassified,0,0,0,0,0,INBRED,0,,,,,
2081,GEMN-0209,Ames31244,Ames 31244,GEM,unclassified,0,0,0,0,0,INBRED,0,,,,,
2082,GEMN-0210,Ames31245,Ames 31245,GEM,unclassified,0,0,0,0,0,INBRED,0,,,,,
2084,GEMN-0212,Ames31246,Ames 31246,GEM,unclassified,0,0,0,0,0,INBRED,0,,,,,
2085,GEMN-0213,Ames31247,Ames 31247,GEM,unclassified,0,0,0,0,0,INBRED,0,,,,,
2086,GEMN-0214,Ames31248,Ames 31248,GEM,unclassified,0,0,0,0,0,INBRED,0,,,,,
2180,GEMS-0215,Ames31249,Ames 31249,GEM,unclassified,0,0,0,0,0,INBRED,0,,,,,
2087,GEMN-0216,Ames31250,Ames 31250,GEM,unclassified,0,0,0,0,0,INBRED,0,,,,,
2088,GEMN-0217,Ames31251,Ames 31251,GEM,unclassified,0,0,0,0,0,INBRED,0,,,,,
1948,GA224,Ames31252,Ames 31252,Other,unclassified,0,Wf9,0,0,0,INBRED,Open Pollinated ear of Wf9,,,,,
2174,GEMS-0199,Ames31482,Ames 31482,GEM,unclassified,0,0,0,0,0,INBRED,0,,,,,
2175,GEMS-0200,Ames31483,Ames 31483,GEM,unclassified,0,0,0,0,0,INBRED,0,,,,,
2177,GEMS-0202,Ames31484,Ames 31484,GEM,unclassified,0,0,0,0,0,INBRED,0,,,,,
2078,GEMN-0205,Ames31486,Ames 31486,GEM,unclassified,0,0,0,0,0,INBRED,0,,,,,
1408,CI90C,Ames31534,Ames 31534,Other,unclassified,0,0,0,0,0,INBRED,0,,,,,
723,A214N,Ames31536,Ames 31536,Other,unclassified,0,0,0,0,0,0,0,,,,,
2176,GEMS-0201,Ames31541,Ames 31541,GEM,unclassified,0,0,0,0,0,INBRED,0,,,,,
2178,GEMS-0203,Ames31542,Ames 31542,GEM,unclassified,0,0,0,0,0,INBRED,0,,,,,
2179,GEMS-0206,Ames31543,Ames 31543,GEM,unclassified,0,0,0,0,0,INBRED,0,,,,,
2023,GEMN-0119,Ames31669,Ames 31669,GEM,unclassified,0,0,0,0,0,INBRED,0,,,,,
2024,GEMN-0120,Ames31670,Ames 31670,GEM,unclassified,0,0,0,0,0,INBRED,0,,,,,
2028,GEMN-0124,Ames31671,Ames 31671,GEM,unclassified,0,0,0,0,0,INBRED,0,,,,,
2036,GEMN-0134,Ames31673,Ames 31673,GEM,unclassified,0,0,0,0,0,INBRED,0,,,,,
2038,GEMN-0136,Ames31674,Ames 31674,GEM,unclassified,0,0,0,0,0,INBRED,0,,,,,
993,F6,Ames7871,Ames 7871,Other,unclassified,0,HastingsWhiteProlific ,FloridaFlint,0,0,INBRED,0,,,,,
1238,B73HT,Ames8397,Ames 8397,Iowa,stiff stalk,0,B73,0,0,0,INBRED,Ht version of B73,,,,,
4005,W117HT,Ames8399,Ames 8399,Wisconsin,unclassified,0,W117,0,0,0,INBRED,Ht version of W117,,,,,
3599,LathamsDouble,Ames 3005,,,,,0,0,,,Open pollinated Population,From CoKer Seed Pedigree Co South Carolina,,,,,
