,Pedigree information,,,,,,Maturity indicators,,,,,,,,Disease resistance (1-5),,,,,,,,,,,,,,Insect resistance,,,,,Herbicide,Plant characteristics,,,,,,,,,,,,,Ear characteristics,,,,,,Grain characteristics,,,,,,,Combining ability for yield,,,,,,,Descriptive Remarks,,
227,,SUWAN1,EV88SUWAN1-SR(BC5)-118-1-1-b-b,((EV88SUWAN1/SR)/EV88SUWAN1/EV88SUWAN1/EV88SUWAN1/EV88SUWAN1/EV88SUWAN1)-118-1-1-B,EV88SUWAN1SR(BC5)-118-1-1-BB,Africa Lowland,Late,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,Y,F,No,,,,,,,,,,B,,MSV,1992,
228,,SUWAN1,EV88SUWAN1-SR(BC5)-201-1-1-b-b,((EV88SUWAN1/SR)EV88SUWAN1/EV88SUWAN1/EV88SUWAN1/EV88SUWAN1/EV88SUWAN1)-201-1-1-B,EV88SUWAN1SR(BC5)-201-1-1-BB,Africa Lowland,Late,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,Y,F,No,,,,,,,,,,AB,,MSV,1992,
229,,SUWAN1,EV88SUWAN1-SR(BC5)-293-1-1-b-b,((EV88SUWAN1/SR)/EV88SUWAN1/EV88SUWAN1/EV88SUWAN1/EV88SUWAN1/EV88SUWAN1)-293-1-1-B,EV88SUWAN1SR(BC5)-293-1-1-BB,Africa Lowland,Late,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,Y,F,No,,,,,,,,,,B,,MSV,1992,
230,,P49,[EV8749-SR(BC6)]-6-1-1-1-b-b,((EV8749/SR)/EV8749/EV8749/EV8749/EV8749/EV8749/EV8749)-6-1-1-1-B,[EV8749SR(BC6)]-6-1-1-1-BB,Africa Lowland,Interm,,,,,,,,,,,,,,,,,,,,,,,,,,,,135,,,,,,,,,,,,,,,,,,,W,D,No,,,,,,,,,,AB,,MSV,1992,
231,,P49,[EV8749-SR(BC6)]-79-1-1-1-b-b,((EV8749/SR)/EV8749/EV8749/EV8749/EV8749/EV8749/EV8749)-79-1-1-1-B,[EV8749SR(BC6)]-79-1-1-1-BB,Africa Lowland,Interm,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,W,D,No,,,,,,,,,,AB,,MSV,1992,
232,,P49,[EV8749-SR(BC6)]-99-1-1-1-b-b,((EV8749/SR)/EV8749/EV8749/EV8749/EV8749/EV8749/EV8749)-99-1-1-1-B,[EV8749SR(BC6)]-99-1-1-1-BB,Africa Lowland,Late,,,,,,,,,,,,,,,,,,,,,,,,,,,,135,,,,,,,,,,,,,,,,,,,W,D,No,,,,,,,,,,B,,MSV,1992,
233,,P49,[EV8449-SR(BC2)]-14-3-1-2-b-b,((EV8449/SR)/EV8449/EV8449)-14-3-1-2-B,[EV8449SR(BC2)]-14-3-1-2-BB,Africa Lowland,Interm,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,W,D,No,,,,,,,,,,AB,,MSV,1992,
234,,P49,[EV8449-SR(BC5)]-24-1-1-1-b-b,((EV8449/SR)/EV8449/EV8449/EV8449/EV8449/EV8449)-24-1-1-1-B,[EV8449SR(BC5)]-24-1-1-1-BB,Africa Lowland,Interm,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,W,D,No,,,,,,,,,,AB,,MSV,1992,
235,,P44,[EV8744-SR]-11-1-1-1-b-b,EV8744SR-11-1-1-1-B,[EV8744SR]-11-1-1-1-BB,Africa Lowland,Late,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,,,,,,,,,,,,,,,,,,,W,D,No,,,,,,,,,,AB,,MSV,1992,
236,,P32,[LB(1)8232-SR(BC3)]-140-1-1-1-b,((LB18232/SR)/LB18232/LB18232/LB18232)-140-1-1-1-B,[LB(1)8232SR(BC3)]-140-1-1-1-B,Africa Lowland,Early,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,,,,,,,,,,,,,,,,,,,W,F,No,,,,,,,,,,B,,MSV,1992,
237,,P32,[LB(1)8232-SR(BC3)]-183-1-1-2-b,((LB18232/SR)/LB18232/LB18232/LB18232)-183-1-1-2-B,[LB(1)8232SR(BC3)]-183-1-1-2-B,Africa Lowland,Late,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,W,F,No,,,,,,,,,,B,,MSV,1992,
238,,P32,[LB(1)8232-SR(BC3)]-229-1-1-1-b,((LB18232/SR)/LB18232/LB18232/LB18232)-229-1-1-1-B,[LB(1)8232SR(BC3)]-229-1-1-1-B,Africa Lowland,Late,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,W,F,No,,,,,,,,,,B,,MSV,1992,
239,,P85,Pob85C2HC27-2-1-2TL-1-14-b,P85-C2-FS27-2-1-2TL-1-14-B,P85C2F27-2-1-2TL-1-14-B,Highland,Early,,,,,,,81,,,,,,,,,,,,,,,,,,,,,145,,60,,0.41,,,,,,G,,,,,,,,,W,SF,No,,,,,,2.0,,,,A,,E.turcicum and P. sorghi,1993,
240,,P85,Pob85C3HC50-4-5-1-1-b,P85-C3-FS50-4-5-1-1-B,P85C3F50-4-5-1-1-B,Highland,Early,,,,,,,88,,,,,,,,,,,,,,,,,,,,,140,,75,,0.54,,,,,,G,,,,,,,,,W,SD,No,,,,,,1.0,,,,A,,E.turcicum and P. sorghi,1993,
241,,P85,Batan8785MH10-1-1-2TL-1-1TL-2-b,BATAN8785-HS10-1-1-2TL-1-1TL-2-B,BATAN8785H10-1-1-2TL-1-1TL-2-B,Highland,Early,,,,,,,80,,,,,,,,,,,,,,,,,,,,,130,,60,,0.46,,,,,,G,,,,,,,,,W,SF,No,,,,,,1.0,,,,A,,E.turcicum and P. sorghi,1993,
242,,P85,Batan8785MH10-1-1-2TL-1-3TL-3-1TL-b,BATAN8785-HS10-1-1-2TL-1-3TL-3-1TL-B,BATAN8785H10-1-1-2TL-1-3TL-3-1TL-B,Highland,Early,,,,,,,83,,,,,,,,,,,,,,,,,,,,,125,,60,,0.48,,,,,,G,,,,,,,,,W,SF,No,,,,,,1.0,,,,A TESTER,,E.turcicum and P. sorghi,1993,
243,,P85,Batan8785MH10-1-1-5TL-3-2-b,BATAN8785-HS10-1-1-5TL-3-2-B,BATAN8785H10-1-1-5TL-3-2-B,Highland,Early,,,,,,,83,,,,,,,,,,,,,,,,,,,,,135,,60,,0.44,,,,,,R,,,,,,,,,W,SF,No,,,,,,1.0,,,,A,,E.turcicum and P. sorghi,1993,
244,,P85,Batan8785MH10-1-2-1-1TL-2-b,BATAN8785-HS10-1-2-1-1TL-2-B,BATAN8785H10-1-2-1-1TL-2-B,Highland,Early,,,,,,,88,,,,,,,,,,,,,,,,,,,,,160,,70,,0.44,,,,,,G,,,,,,,,,W,SF,No,,,,,,2.0,,,,A,,E.turcicum and P. sorghi,1993,
245,,P86,Pob86COHC77-21-2-1-2-1-1-1-b,P86-C0-FS77-21-2-1-2-1-1-1-B,P86COF77-21-2-1-2-1-1-1-B,Highland,Early,,,,,,,88,,,,,,,,,,,,,,,,,,,,,135,,65,,0.48,,,,,,G,,,,,,,,,Y,SF,No,,,,,,2.0,,,,A,,E.turcicum and P. sorghi,1993,
246,,P800,Pob800C2HC22-1T-2-3TL-1-2-7TL-b,P800-C2-FS22-1T-2-3TL-1-2-7TL-B,P800C2F22-1T-2-3TL-1-2-7TL-B,Highland,Interm,,,,,,,93,,,,,,,,,,,,,,,,,,,,,185,,80,,0.43,,,,,,G,,,,,,,,,W,SD,No,,,,,,1.0,,,,B TESTER,,E.turcicum and P. sorghi,1993,
247,CLP2404,G24,(G24F119*G24F54)-6-4-1-1-BB-f,(G24-F119/G24-F54)-6-4-1-1-B,(G24F119/G24F54)-6-4-1-1-BB-F,Lowland,Late,,963,,,,64,65,1.8,,1.4,,,,,,,,,,,1.7,,,,,,,168,,,,,2.5,2.5,,3.0,,,,,,2.5,3.0,14.0,1.0,,W,SD,No,,,,,,2.0,,,,A TESTER,"POP22,  23, 25, 29, 32, 43","CSS, GLS",1994,
248,CLP2405,G24,(G24F94*G24F6)-8-1-1-4-BB-f,(G24-F94/G24-F6)-8-1-1-4-B,(G24F94/G24F6)-8-1-1-4-BB-F,Lowland,,,918,,,,60,62,3.0,,1.4,,,,,,,,,,,1.8,,,,,,,195,,,,,3.0,2.5,,2.0,,,,,,3.0,2.0,14-16,2.0,,W,SF,No,,,,,,2.0,,,, ,"POP22,  23, 25, 29, 32, 43",,1994,
249,CLP2406,G24,(G24TSR19*21F163)-1-1-1-2-BB-f,(G24TSR-19/P21-F163)-1-1-1-2-B,(G24TSR19/21F163)-1-1-1-2-BB-F,Lowland,,,980,,,,64,66,2.5,,1.7,,,,,,,,,,,2.0,,,,,,,152,,,,,2.5,2.5,,2.5,,,,,,3.0,2.5,14.0,4.0,,W,D,No,,,,,,2.0,,,, ,"POP22,  23, 25, 29, 32, 43",,1994,
250,CL02115,P21,Pob21C5HC218-2-3-B-F-6#-BBB-f,P21-C5-FS218-2-3-B-F-6-B,P21C5F218-2-3-B-F-6#-BBB-F,Lowland,,,904,,,,62,61,2.5,,2.0,,,,,,,,,,,1.5,,,,,,,200,,,,,3.5,3.0,,2.5,,,,,,2.2,2.5,10-12,1.0,,W,D,No,,,,,,2.0,,,, ,"POP25, 32, 43; POOL23, 24",,1994,
251,CL02116,P21,(21F114*21F38)-5-3-2-1-BB-f,(P21-F114/P21-F38)-5-3-2-1-B,(21F114/21F38)-5-3-2-1-BB-F,Lowland,,,933,,,,63,63,3.3,,1.3,,,,,,,,,,,1.8,,,,,,,198,,,,,3.0,1.0,,2.0,,,,,,2.2,2.0,14.0,1.0,,W,D,No,,,,,,2.0,,,, ,"POP25, 32, 43; POOL23, 24",,1994,
252,CL02117,P21,TUXSEQ-21-1-2-1-B-##-2-BB-f,TUXPSEQ-21-1-2-1-B-#-#-2-B,TUXSEQ-21-1-2-1-B-##-2-BB-F,Lowland,,,918,,,,62,62,3.5,,1.6,,,,,,,,,,,1.5,,,,,,,185,,,,,3.0,2.5,,3.5,,,,,,2.2,3.5,8-10,1.0,,W,D,No,,,,,,2.0,,,, ,"POP25, 32, 43; POOL23, 24",,1994,
253,CL02118,P21,(21F218*21F76)-3-2-1-1-BB-f,(P21-F218/P21-F76)-3-2-1-1-B,(21F218/21F76)-3-2-1-1-BB-F,Lowland,,,904,,,,61,61,2.8,,1.7,,,,,,,,,,,1.3,,,,,,,183,,,,,2.5,3.0,,3.0,,,,,,1.8,3.0,10-12,1.0,,W,SD,No,,,,,,2.0,,,, ,"POP25, 32, 43; POOL23, 24",,1994,
254,CL02119,P21,TUXSEQ-149-2-BBB-##-1-BB-f,TUXPSEQ-149-2-B*3-#-#-1-B,TUXSEQ-149-2-BBB-##-1-BB-F,Lowland,,,918,,,,63,62,2.7,,1.5,,,,,,,,,,,1.5,,,,,,,193,,,,,2.5,2.5,,3.5,,,,,,2.2,3.5,8-10,1.0,,W,SD,No,,,,,,2.0,,,,B TESTER,"POP25, 32, 43; POOL23, 24",,1994,
255,CL02120,P21,Pob21C6S1MH125-3-B-1-1-2-BB-f,P21-C6-HS125-3-B-1-1-2-B,P21C6S1H125-3-B-1-1-2-BB-F,Lowland,,,980,,,,65,66,2.5,,2.7,,,,,,,,,,,1.7,,,,,,,185,,,,,3.5,3.0,,3.0,,,,,,2.5,3.0,12.0,2.0,,W,D,No,,,,,,2.0,,,, ,"POP25, 32, 43; POOL23, 24",,1994,
256,CL02121,P21,(Pob21F38*Pob21F114)-2-1-2-1-BB-f,(P21-F38/P21-F114)-2-1-2-1-B,(P21F38/P21F114)-2-1-2-1-BB-F,Lowland,,,980,,,,62,66,2.2,,-,,,,,,,,,,,1.8,,,,,,,205,,,,,1.5,2.0,,3.0,,,,,,2.8,3.0,14.0,2.0,,W,D,No,,,,,,2.0,,,, ,"POP25, 32, 43; POOL23, 24",,1994,
257,CL02122,P21,Pob21C6S1MH154-5-B-1-1-1-BB-f,P21-C6-HS154-5-B-1-1-1-B,P21C6S1H154-5-B-1-1-1-BB-F,Lowland,,,874,,,,62,59,3.7,,1.8,,,,,,,,,,,1.5,,,,,,,193,,,,,4.0,3.0,,2.5,,,,,,2.3,2.5,12-14,2.0,,W,D,No,,,,,,2.0,,,, ,"POP25, 32, 43; POOL23, 24",,1994,
258,CL02123,P21,Pob21C5HC218-2-3-B-###-B-1-BBB-f,P21-C5-FS218-2-3-B-#*3-B-1-B,P21C5F218-2-3-B-###-B-1-BBB-F,Lowland,,,949,,,,63,64,2.0,,1.4,,,,,,,,,,,1.5,,,,,,,192,,,,,2.5,2.0,,2.5,,,,,,2.5,2.5,12.0,3.0,,W,D,No,,,,,,2.0,,,, ,"POP25, 32, 43; POOL23, 24",,1994,
259,CL02124,P21,(21F88*21F162)-6-2-2-1-BB-f,(P21-F88/P21-F162)-6-2-2-1-B,(21F88/21F162)-6-2-2-1-BB-F,Lowland,,,889,,,,60,60,3.5,,1.5,,,,,,,,,,,2.0,,,,,,,205,,,,,2.5,2.5,,3.0,,,,,,2.8,3.0,12.0,3.0,,W,SD,No,,,,,,2.0,,,, ,"POP25, 32, 43; POOL23, 24",,1994,
260,CL02125,P21,Pob21C6S1MH254-2-B-1-4-2-BB-f,P21-C6-HS254-2-B-1-4-2-B,P21C6S1H254-2-B-1-4-2-BB-F,Lowland,,,918,,,,60,62,4.3,,1.9,,,,,,,,,,,1.5,,,,,,,177,,,,,3.5,3.0,,2.5,,,,,,2.2,2.5,14.0,3.0,,W,SD,No,,,,,,2.0,,,, ,"POP25, 32, 43; POOL23, 24",,1994,
261,CL02126,P21,Pob21C6S1MH177-2-B-4-2-1-BB-f,P21-C6-HS177-2-B-4-2-1-B,P21C6S1H177-2-B-4-2-1-BB-F,Lowland,,,889,,,,60,60,3.0,,2.2,,,,,,,,,,,2.2,,,,,,,180,,,,,4.0,3.5,,2.0,,,,,,2.7,2.0,16.0,3.0,,W,F,No,,,,,,2.0,,,, ,"POP25, 32, 43; POOL23, 24",,1994,
262,CL02127,P21,Pob21C6S1MH254-2-B-1-4-4-BB-f,P21-C6-HS254-2-B-1-4-4-B,P21C6S1H254-2-B-1-4-4-BB-F,Lowland,,,918,,,,61,62,3.8,,-,,,,,,,,,,,1.5,,,,,,,168,,,,,3.0,3.0,,1.5,,,,,,2.8,1.5,12.0,4.0,,W,SD,No,,,,,,2.0,,,, ,"POP25, 32, 43; POOL23, 24",,1994,
263,CL02128,P21,(21F241*21F219)-2-1-2-1-BB-f,(P21-F241/P21-F219)-2-1-2-1-B,(21F241/21F219)-2-1-2-1-BB-F,Lowland,,,980,,,,63,66,3.2,,2.1,,,,,,,,,,,1.8,,,,,,,200,,,,,2.0,2.0,,2.0,,,,,,2.5,2.0,12-14,4.0,,W,SD,No,,,,,,2.0,,,, ,"POP25, 32, 43; POOL23, 24",,1994,
264,CL02129,P21,Pob21C5F219-3-1-B-##-8-1-3-BBB-f,P21-C5-F219-3-1-B-#-#-8-1-3-B,P21C5F219-3-1-B-##-8-1-3-BBB-F,Lowland,,,994,,,,66,67,3.0,,-,,,,,,,,,,,2.2,,,,,,,162,,,,,2.5,3.0,,2.5,,,,,,3.2,2.5,12.0,4.0,,W,F,No,,,,,,2.0,,,, ,"POP25, 32, 43; POOL23, 24",,1994,
265,CL02130,P21,Pob21C6S1MH254-2-B-1-4-5-BB-f,P21-C6-HS254-2-B-1-4-5-B,P21C6S1H254-2-B-1-4-5-BB-F,Lowland,,,933,,,,62,63,3.8,,1.6,,,,,,,,,,,1.8,,,,,,,175,,,,,3.5,2.5,,1.0,,,,,,3.0,1.0,12-14,4.0,,W,SD,No,,,,,,2.0,,,, ,"POP25, 32, 43; POOL23, 24",,1994,
266,CL02204,P22,Pob22STEC1HC32-6-1-1-2-3-BB-f,P22STE-C1-FS32-6-1-1-2-3-B,P22STEC1F32-6-1-1-2-3-BB-F,Lowland,,,949,,,,63,64,2.3,,2.3,,,,,,,,,,,2.2,,,,,,,168,,,,,3.0,2.5,,2.5,,,,,,3.3,2.5,12.0,2.0,,W,SD,No,,,,,,2.0,,,, ,"POP25, 32, 43; POOL23",,1994,
267,CL02205,P22,(Pob22xTSR)-4-3-1-3-1-BB-f,P22TSR-4-3-1-3-1-B,(P22/TSR)-4-3-1-3-1-BB-F,Lowland,,,949,,,,63,64,3.8,,-,,,,,,,,,,,1.8,,,,,,,195,,,,,4.0,3.0,,2.5,,,,,,2.5,2.5,14-16,3.0,,W,D,No,,,,,,2.0,,,, ,"POP25, 32, 43; POOL23",,1994,
268,CL02301,P23,Pob23STEC1HC45-1-1-1-2-3-BB-f,P23STE-C1-FS45-1-1-1-2-3-B,P23STEC1F45-1-1-1-2-3-BB-F,Lowland,,,994,,,,65,67,2.8,,1.6,,,,,,,,,,,2.7,,,,,,,205,,,,,3.0,2.0,,2.0,,,,,,3.5,2.0,12.0,3.0,,W,F,No,,,,,,2.0,,,, ,POP49,CSS,1994,
269,CL02504,P25,Pob25STEC1HC13-6-1-1-#-BBB-f,P25STE-C1-FS13-6-1-1-B,P25STEC1F13-6-1-1-#-BBB-F,Lowland,,,889,,,,61,60,3.5,,-,,,,,,,,,,,2.0,,,,,,,180,,,,,4.0,3.0,,2.5,,,,,,3.0,2.5,20.0,3.0,,W,F,No,,,,,,2.0,,,, ,"POP21, 22, 29, 43; POOL24",,1994,
270,CL02903,P29,Pob29STEC1HC17-4-1-1-2-1-BB-f,P29STE-C1-FS17-4-1-1-2-1-B,P29STEC1F17-4-1-1-2-1-BB-F,Lowland,,,874,,,,59,59,4.0,,1.8,,,,,,,,,,,1.3,,,,,,,185,,,,,4.0,2.5,,3.5,,,,,,2.2,3.5,12-14,3.0,,W,SD,No,,,,,,2.0,,,, ,"POP25, 32, 43; POOL23",,1994,
271,CL02904,P29,Pob29STEC1HC25-6-4-1-#-BBB-f,P29STE-C1-FS25-6-4-1-B,P29STEC1F25-6-4-1-#-BBB-F,Lowland,,,933,,,,61,63,3.8,,1.6,,,,,,,,,,,1.5,,,,,,,198,,,,,3.5,3.5,,4.0,,,,,,2.7,4.0,16.0,3.0,,W,D,No,,,,,,2.0,,,, ,"POP25, 32, 43; POOL23",,1994,
272,CL02905,P29,Pob29STEC1HC1-3-1-1-4-2-BB-f,P29STE-C1-FS1-3-1-1-4-2-B,P29STEC1F1-3-1-1-4-2-BB-F,Lowland,,,980,,,,62,66,2.8,,1.8,,,,,,,,,,,1.5,,,,,,,175,,,,,3.5,3.0,,1.5,,,,,,3.2,1.5,12.0,4.0,,W,SF,No,,,,,,2.0,,,, ,"POP25, 32, 43; POOL23",,1994,
273,CL04307,P43,(AC7643*43F7)-2-3-2-1-BB-f,(AC7643/P43-F7)-2-3-2-1-B,(AC7643/43F7)-2-3-2-1-BB-F,Lowland,,,933,,,,63,63,2.2,,1.8,,,,,,,,,,,1.5,,,,,,,195,,,,,2.0,2.0,,2.5,,,,,,2.3,2.5,12-14,1.0,,W,D,No,,,,,,2.0,,,, ,"POP22, 25, 29, 32; POOL23",CSS,1994,
274,CL04308,P43,(AC7643*43F7)-2-3-4-3-BB-f,(AC7643/P43-F7)-2-3-4-3-B,(AC7643/43F7)-2-3-4-3-BB-F,Lowland,,,963,,,,65,65,2.2,,1.4,,,,,,,,,,,2.0,,,,,,,190,,,,,2.0,2.0,,2.5,,,,,,2.7,2.5,16.0,1.0,,W,D,No,,,,,,2.0,,,, ,"POP22, 25, 29, 32; POOL23",,1994,
275,CL04309,P43,Pob43STEC1HC25-4-1-1-1-3-BB-f,P43STE-C1-FS25-4-1-1-1-3-B,P43STEC1F25-4-1-1-1-3-BB-F,Lowland,,,963,,,,66,65,3.0,,1.5,,,,,,,,,,,1.5,,,,,,,220,,,,,3.0,1.5,,2.0,,,,,,2.3,2.0,12.0,1.0,,W,D,No,,,,,,2.0,,,, ,"POP22, 25, 29, 32; POOL23",,1994,
276,CL04310,P43,Pob43STEC1HC25-4-1-1-2-1-BB-f,P43STE-C1-FS25-4-1-1-2-1-B,P43STEC1F25-4-1-1-2-1-BB-F,Lowland,,,980,,,,67,66,2.5,,1.5,,,,,,,,,,,1.5,,,,,,,215,,,,,3.5,2.0,,2.0,,,,,,2.3,2.0,10-12,1.0,,W,SD,No,,,,,,2.0,,,, ,"POP22, 25, 29, 32; POOL23",,1994,
277,CL04311,P43,FERKE8243-51-1-1-B-##-1-BB-#,FERKE8243-51-1-1-B-#-#-1-B,FERKE8243-51-1-1-B-##-1-BB-#,Lowland,,,918,,,,62,62,2.3,,-,,,,,,,,,,,1.7,,,,,,,183,,,,,2.5,2.5,,3.0,,,,,,2.7,3.0,12-14,2.0,,W,SF,No,,,,,,2.0,,,, ,"POP22, 25, 29, 32; POOL23",,1994,
278,CL04312,P43,DMANTES8043-53-1-1-B-##-1-BB-f,DIAMANTES8043-53-1-1-B-#-#-1-B,DIAMANTES8043-53-1-1-B-##-1-BB-F,Lowland,,,918,,,,63,62,2.7,,2.2,,,,,,,,,,,1.5,,,,,,,197,,,,,2.0,2.5,,3.5,,,,,,2.3,3.5,12.0,3.0,,W,D,No,,,,,,2.0,,,, ,"POP22, 25, 29, 32; POOL23",,1994,
279,CL04313,P43,Pob43STEC1HC26-2-2-1-2-3-BB-f,P43STE-C1-FS26-2-2-1-2-3-B,P43STEC1F26-2-2-1-2-3-BB-F,Lowland,,,933,,,,62,63,3.2,,1.7,,,,,,,,,,,1.5,,,,,,,190,,,,,3.5,2.5,,3.0,,,,,,2.2,3.0,16.0,3.0,,W,SF,No,,,,,,2.0,,,, ,"POP22, 25, 29, 32; POOL23",,1994,
280,CL04314,P43,Pob43STEC1HC19-5-1-2-2-2-BB-f,P43STE-C1-FS19-5-1-2-2-2-B,P43STEC1F19-5-1-2-2-2-BB-F,Lowland,,,994,,,,64,67,1.8,,1.6,,,,,,,,,,,1.5,,,,,,,195,,,,,3.0,2.5,,3.0,,,,,,2.3,3.0,12.0,3.0,,W,SD,No,,,,,,2.0,,,, ,"POP22, 25, 29, 32; POOL23",,1994,
281,CL04315,P43,(43*PORILLO8043)-5-1-2-2-BB-F,(P43/PORRILLO8043)-5-1-2-2-B,(43/PORILLO8043)-5-1-2-2-BB-F,Lowland,,,963,,,,64,65,2.8,,2.4,,,,,,,,,,,1.8,,,,,,,177,,,,,3.0,2.5,,1.5,,,,,,2.8,1.5,14.0,4.0,,W,D,No,,,,,,2.0,,,, ,"POP22, 25, 29, 32; POOL23",,1994,
282,CLP2201,G22,(G22F128*G22F25)-2-2-3-1-BB-f,(G22-F128/G22-F25)-2-2-3-1-B,(G22F128/G22F25)-2-2-3-1-BB-F,Lowland,,,874,,,,61,59,4.8,,2.0,,,,,,,,,,,1.5,,,,,,,177,,,,,3.0,3.0,,2.5,,,,,,2.2,2.5,12.0,2.0,,Y,SD,No,,,,,,2.0,,,, ,"POP26, 31, SintAmTSR, POOL21",,1994,
283,CLP2202,G22,(G22TSR7*G26F37)-2-2-2-1-BB-f,(G22TSR-F7/G26-F37)-2-2-2-1-B,(G22TSR7/G26F37)-2-2-2-1-BB-F,Lowland,,,933,,,,61,63,3.5,,-,,,,,,,,,,,1.7,,,,,,,160,,,,,3.0,3.0,,2.5,,,,,,3.0,2.5,8-10,3.0,,Y,D,No,,,,,,2.0,,,, ,"POP26, 31, SintAmTSR, POOL21",,1994,
284,CLP2203,G22,(G22F128*G22F25)-2-2-2-2-BB-f,(G22-F128/G22-F25)-2-2-2-2-B,(G22F128/G22F25)-2-2-2-2-BB-F,Lowland,,,933,,,,64,63,4.0,,2.7,,,,,,,,,,,1.8,,,,,,,167,,,,,3.5,3.0,,2.5,,,,,,3.2,2.5,12.0,4.0,,Y,SF,No,,,,,,2.0,,,, ,"POP26, 31, SintAmTSR, POOL21",,1994,
285,CL02405,P24,Pob24C5HC34-2-3-B-f-2#-BBB-f,P24-C5-FS34-2-3-B-F-2-B,P24C5F34-2-3-B-F-2#-BBB-F,Lowland,,,904,,,,62,61,3.5,,2.0,,,,,,,,,,,1.5,,,,,,,175,,,,,3.0,2.5,,2.0,,,,,,1.8,2.0,16.0,1.0,,Y,D,No,,,,,,2.0,,,, ,"POP27, 28, 36, Suwan1, P25, P26",,1994,
286,CL02406,P24,Pob24STEC1HC16-1-3-3-1-2-BB-f,P24STE-C1-FS16-1-3-3-1-2-B,P24STEC1F16-1-3-3-1-2-BB-F,Lowland,,,904,,,,61,61,2.2,,1.9,,,,,,,,,,,1.5,,,,,,,190,,,,,2.0,2.0,,2.0,,,,,,2.3,2.0,12.0,2.0,,Y,F,No,,,,,,2.0,,,, ,"POP27, 28, 36, Suwan1, P25, P26",,1994,
287,CL02407,P24,(P24F26*27F1)-4-1-B-1-1-BB-f,(P24-F26/P27-F1)-4-1-B-1-1-B,(P24F26/27F1)-4-1-B-1-1-BB-F,Lowland,,,904,,,,62,61,4.7,,2.0,,,,,,,,,,,1.5,,,,,,,200,,,,,2.5,2.5,,3.5,,,,,,2.3,3.5,12.0,2.0,,Y,F,No,,,,,,2.0,,,,A TESTER,"POP27, 28, 36, Suwan1, P25, P26",,1994,
288,CL02408,P24,Pob24STEC1HC45-1-2-3-3-2-BB-f,P24STE-C1-FS45-1-2-3-3-2-B,P24STEC1F45-1-2-3-3-2-BB-F,Lowland,,,859,,,,58,58,5.0,,2.1,,,,,,,,,,,1.8,,,,,,,160,,,,,4.5,3.5,,2.0,,,,,,2.7,2.0,12.0,2.0,,Y,F,No,,,,,,2.0,,,, ,"POP27, 28, 36, Suwan1, P25, P26",,1994,
289,CL02409,P24,Pob24STEC1HC23-5-2-1-2-3-BB-f,P24STE-C1-FS23-5-2-1-2-3-B,P24STEC1F23-5-2-1-2-3-BB-F,Lowland,,,949,,,,65,64,2.8,,-,,,,,,,,,,,1.5,,,,,,,165,,,,,3.0,3.0,,3.5,,,,,,2.7,3.5,12-14,4.0,,Y,F,No,,,,,,2.0,,,, ,"POP27, 28, 36, Suwan1, P25, P26",,1994,
290,CL02803,P28,(Pob28xTSR)-33-3-7-3-1-BB-f,P28TSR-33-3-7-3-1-B,(P28/TSR)-33-3-7-3-1-BB-F,Lowland,,,980,,,,66,66,2.8,,1.8,,,,,,,,,,,1.8,,,,,,,173,,,,,3.0,2.5,,3.0,,,,,,2.5,3.0,12.0,2.0,,Y,F,No,,,,,,2.0,,,, ,"POP24, 27, 36, Suwan1, TSR, P25",,1994,
291,CL02804,P28,(Pob28xTSR)-33-3-3-B-1-2-BB-f,P28TSR-33-3-3-B-1-2-B,(P28/TSR)-33-3-3-B-1-2-BB-F,Lowland,,,904,,,,61,61,3.3,,2.3,,,,,,,,,,,1.5,,,,,,,190,,,,,2.0,3.0,,2.5,,,,,,2.7,2.5,8-12,2.0,,Y,F,No,,,,,,2.0,,,, ,"POP24, 27, 36, Suwan1, TSR, P25",,1994,
292,CL02805,P28,(Pob28xTSR)-33-2-7-1-2-BB-f,P28TSR-33-2-7-1-2-B,(P28/TSR)-33-2-7-1-2-BB-F,Lowland,,,949,,,,63,64,3.8,,1.7,,,,,,,,,,,1.7,,,,,,,163,,,,,4.0,3.0,,3.0,,,,,,2.8,3.0,12.0,3.0,,Y,F,No,,,,,,2.0,,,, ,"POP24, 27, 36, Suwan1, TSR, P25",,1994,
